"TF","target","importance","topNub"
"RPL6","RPS27",13.767859220275,1
"RPL6","RPS4X",8.92154530769482,2
"RPL6","RPL30",8.82863036638382,3
"RPL6","RPL18A",7.83450659324586,4
"RPL6","RPL10",7.7641187626476,5
"RPL6","TPT1",7.22532062536969,6
"RPL6","RPS18",7.16482192562805,7
"RPL6","RPL41",7.06320476595839,8
"RPL6","UBA52",6.57257342713987,9
"RPL6","RPS15A",6.43293272034163,10
"RPL6","RPL13",6.25336233055639,11
"RPL6","RPS25",6.23959385690802,12
"RPL6","RPS7",6.01394214279669,13
"RPL6","SNHG6",5.92710773155326,14
"RPL6","RPL4",5.75097829913788,15
"RPL6","EEF1G",5.74526505883252,16
"RPL6","RPS23",5.72378157481401,17
"RPL6","RPL35",5.63271879350189,18
"RPL6","RPL23A",5.49549706579524,19
"RPL6","RPL12",5.4947686562424,20
"RPL6","RPLP2",5.48047838065179,21
"RPL6","RPS13",5.27734098045014,22
"RPL6","PCED1B-AS1",5.23576916411336,23
"RPL6","RPL17",5.21935205661702,24
"RPL6","EEF1D",5.18941456705307,25
"RPL6","RPL34",5.16926840843247,26
"RPL6","CD37",5.14082071522359,27
"RPL6","RPS24",5.11989718530323,28
"RPL6","RPS28",5.10420820261226,29
"RPL6","RPL37",5.03211126299322,30
"ZSCAN20","AC004784.1",13.1952402778144,1
"ZSCAN20","AL033530.1",5.11184207174261,2
"ZSCAN20","ORAI3",4.69651588463226,3
"ZSCAN20","BCL11A",4.56593808738855,4
"ZSCAN20","AC008569.2",4.48283397990921,5
"ZSCAN20","AP003071.2",4.00703704689946,6
"ZSCAN20","AC012306.3",3.35005721945895,7
"ZSCAN20","AC011933.2",3.32157226941551,8
"ZSCAN20","LINC01141",3.28985585371553,9
"ZSCAN20","LINC01431",2.96930449803005,10
"ZSCAN20","AC010247.2",2.93406737100374,11
"ZSCAN20","LINC02447",2.81956683002716,12
"ZSCAN20","AC020917.2",2.76287164833305,13
"ZSCAN20","TRAV21",2.4357412002782,14
"ZSCAN20","AC103858.1",2.27888663576505,15
"ZSCAN20","AC004449.1",2.27413834165496,16
"ZSCAN20","ITPK1-AS1",2.25724722458472,17
"ZSCAN20","BBS10",2.22616875027292,18
"ZSCAN20","AL592431.1",2.19763248291334,19
"ZSCAN20","AC122685.1",2.19717543640116,20
"ZSCAN20","AL121888.1",2.16788225530068,21
"ZSCAN20","AC022778.1",2.16353143680709,22
"ZSCAN20","AC104564.5",2.15136180572161,23
"ZSCAN20","AC009318.2",2.1482700934143,24
"ZSCAN20","ADRB1",2.12142078521007,25
"ZSCAN20","AC067817.2",2.11489901330752,26
"ZSCAN20","EMC2",2.11296398049088,27
"ZSCAN20","CDH9",2.10839386328583,28
"ZSCAN20","HHEX",2.08055567629603,29
"ZSCAN20","SEL1L2",2.03279615826861,30
"RPS4X","TPT1",12.8030445446844,1
"RPS4X","RPL17",10.867717508249,2
"RPS4X","RPS27",10.8497904284264,3
"RPS4X","RPL29",10.1859755828721,4
"RPS4X","RPL18A",9.86141823127608,5
"RPS4X","RPL13",8.7824920217089,6
"RPS4X","RPL12",8.76833547762479,7
"RPS4X","RPS18",8.64592135936986,8
"RPS4X","RPL10",8.36725784563515,9
"RPS4X","RPS15A",8.17233166928154,10
"RPS4X","RPS27A",8.06479542943819,11
"RPS4X","RPL32",7.20003336816117,12
"RPS4X","RPL34",6.98323662351947,13
"RPS4X","RPL41",6.93789340704465,14
"RPS4X","EEF1A1",6.88778445741095,15
"RPS4X","RPL35A",6.74196596423959,16
"RPS4X","RPL9",6.58336285011272,17
"RPS4X","SNHG29",6.49826983765913,18
"RPS4X","RPS7",6.43819238278744,19
"RPS4X","EIF3F",6.39961741520604,20
"RPS4X","RPS5",6.35410029135949,21
"RPS4X","RPS3",6.29436159639715,22
"RPS4X","EEF1D",6.28161797837484,23
"RPS4X","RPL10A",6.27163236418735,24
"RPS4X","RPL39",6.24313554855541,25
"RPS4X","RPL3",6.19528722695415,26
"RPS4X","RPS4Y1",6.07538587010574,27
"RPS4X","FAU",6.03655616582584,28
"RPS4X","RPS13",5.81437842349749,29
"RPS4X","GAS5",5.79390542815232,30
