"name","label","size","color"
"RPS27","RPS27",3,"#E87D72"
"RPS4X","RPS4X",10,"#1E90FF"
"RPL30","RPL30",3,"#E87D72"
"RPL18A","RPL18A",3,"#E87D72"
"RPL10","RPL10",3,"#E87D72"
"TPT1","TPT1",3,"#E87D72"
"RPS18","RPS18",3,"#E87D72"
"RPL41","RPL41",3,"#E87D72"
"UBA52","UBA52",3,"#E87D72"
"RPS15A","RPS15A",3,"#E87D72"
"RPL13","RPL13",3,"#E87D72"
"RPS25","RPS25",3,"#E87D72"
"RPS7","RPS7",3,"#E87D72"
"SNHG6","SNHG6",3,"#E87D72"
"RPL4","RPL4",3,"#E87D72"
"EEF1G","",1,"#FFFFFF"
"RPS23","",1,"#FFFFFF"
"RPL35","",1,"#FFFFFF"
"RPL23A","",1,"#FFFFFF"
"RPL12","",1,"#FFFFFF"
"RPLP2","",1,"#FFFFFF"
"RPS13","",1,"#FFFFFF"
"PCED1B-AS1","",1,"#FFFFFF"
"RPL17","",1,"#FFFFFF"
"EEF1D","",1,"#FFFFFF"
"RPL34","",1,"#FFFFFF"
"CD37","",1,"#FFFFFF"
"RPS24","",1,"#FFFFFF"
"RPS28","",1,"#FFFFFF"
"RPL37","",1,"#FFFFFF"
"AC004784.1","",1,"#FFFFFF"
"AL033530.1","",1,"#FFFFFF"
"ORAI3","",1,"#FFFFFF"
"BCL11A","",1,"#FFFFFF"
"AC008569.2","",1,"#FFFFFF"
"AP003071.2","",1,"#FFFFFF"
"AC012306.3","",1,"#FFFFFF"
"AC011933.2","",1,"#FFFFFF"
"LINC01141","",1,"#FFFFFF"
"LINC01431","",1,"#FFFFFF"
"AC010247.2","",1,"#FFFFFF"
"LINC02447","",1,"#FFFFFF"
"AC020917.2","",1,"#FFFFFF"
"TRAV21","",1,"#FFFFFF"
"AC103858.1","",1,"#FFFFFF"
"AC004449.1","",1,"#FFFFFF"
"ITPK1-AS1","",1,"#FFFFFF"
"BBS10","",1,"#FFFFFF"
"AL592431.1","",1,"#FFFFFF"
"AC122685.1","",1,"#FFFFFF"
"AL121888.1","",1,"#FFFFFF"
"AC022778.1","",1,"#FFFFFF"
"AC104564.5","",1,"#FFFFFF"
"AC009318.2","",1,"#FFFFFF"
"ADRB1","",1,"#FFFFFF"
"AC067817.2","",1,"#FFFFFF"
"EMC2","",1,"#FFFFFF"
"CDH9","",1,"#FFFFFF"
"HHEX","",1,"#FFFFFF"
"SEL1L2","",1,"#FFFFFF"
"RPL29","",1,"#FFFFFF"
"RPS27A","",1,"#FFFFFF"
"RPL32","",1,"#FFFFFF"
"EEF1A1","",1,"#FFFFFF"
"RPL35A","",1,"#FFFFFF"
"RPL9","",1,"#FFFFFF"
"SNHG29","",1,"#FFFFFF"
"EIF3F","",1,"#FFFFFF"
"RPS5","",1,"#FFFFFF"
"RPS3","",1,"#FFFFFF"
"RPL10A","",1,"#FFFFFF"
"RPL39","",1,"#FFFFFF"
"RPL3","",1,"#FFFFFF"
"RPS4Y1","",1,"#FFFFFF"
"FAU","",1,"#FFFFFF"
"GAS5","",1,"#FFFFFF"
"RPL6","RPL6",10,"#1E90FF"
"ZSCAN20","ZSCAN20",10,"#1E90FF"
